element=21
l=0 n=21
  2.1760999999999999e+01 -2.1800000000000000e-02
  7.9217550000000001e+00 -7.2568999999999995e-02
  3.1842000000000001e+00 -2.2221500000000000e-01
  1.3426210000000001e+00 -3.3866200000000002e-01
  5.6152400000000002e-01 -1.9892000000000000e-02
  2.2770499999999999e-01  8.6451199999999995e-01
  8.5240999999999997e-02 -1.5860600000000000e-01
  3.4099999999999998e-02 -6.5021499999999999e-01
l=2 n=9
  7.3518680000000003e+01  2.3533999999999999e-02
  2.1760999999999999e+01 -1.0370699999999999e-01
  7.9217550000000001e+00  1.8765000000000001e-01
  3.1842000000000001e+00  2.5224299999999999e-01
  1.3426210000000001e+00  4.5887099999999997e-01
  5.6152400000000002e-01 -9.5550000000000002e-01
  2.2770499999999999e-01  5.3200000000000003e-04
  8.5240999999999997e-02  1.0895049999999999e+00
  3.4099999999999998e-02 -1.0172180000000000e+00
l=3 n=6
  2.9645999999999999e+00  3.4303000000000000e-02
  1.1859000000000000e+00  1.0163899999999999e-01
  4.7430000000000000e-01  3.2397799999999999e-01
  1.8970000000000001e-01  5.1659800000000000e-01
  7.5899999999999995e-02  2.9400300000000001e-01
  3.0400000000000000e-02  2.6641000000000001e-02
l=3 n=6
  2.9645999999999999e+00  1.2908200000000000e-01
  1.1859000000000000e+00  3.1694499999999998e-01
  4.7430000000000000e-01  5.7742099999999996e-01
  1.8970000000000001e-01 -2.1350300000000000e-01
  7.5899999999999995e-02 -5.5822700000000003e-01
  3.0400000000000000e-02 -5.9128000000000000e-02
l=3 n=6
  2.9645999999999999e+00 -2.4508199999999999e-01
  1.1859000000000000e+00 -5.1264799999999999e-01
  4.7430000000000000e-01  6.5000000000000002e-02
  1.8970000000000001e-01  9.0345799999999998e-01
  7.5899999999999995e-02 -8.3182299999999998e-01
  3.0400000000000000e-02 -1.2931999999999999e-01
l=4 n=4
  1.4228000000000001e+00  9.8339999999999997e-02
  5.6910000000000005e-01  3.5783799999999999e-01
  2.2760000000000000e-01  5.6817200000000001e-01
